         1     0.00000
         2    -0.00014
         3    -0.00075
         4    -0.00168
         5    -0.00256
         6    -0.00311
         7    -0.00404
         8    -0.00770
         9    -0.01210
        10     0.00273
        11     0.01732
        12     0.02382
        13     0.03837
        14     0.04716
        15     0.01970
        16     0.01712
        17     0.00626
        18    -0.00994
        19    -0.01643
        20    -0.02633
        21    -0.01463
        22    -0.00035
        23    -0.00047
        24     0.00876
        25     0.03564
        26     0.04143
        27     0.03643
        28     0.03562
        29     0.02362
        30     0.00754
        31    -0.00314
        32    -0.00032
        33     0.02434
        34     0.04944
        35     0.08465
        36     0.12065
        37     0.14589
        38     0.15850
        39     0.14632
        40     0.12983
        41     0.11317
        42     0.07490
        43     0.01845
        44    -0.02739
        45    -0.09079
        46    -0.11781
        47    -0.09620
        48    -0.05662
        49    -0.01950
        50     0.00712
        51     0.04946
        52     0.08180
        53     0.04978
        54    -0.03190
        55    -0.10068
        56    -0.12409
        57    -0.10759
        58    -0.08991
        59    -0.09162
        60    -0.12148
        61    -0.15251
        62    -0.16659
        63    -0.14304
        64    -0.05676
        65     0.04274
        66     0.05893
        67     0.01887
        68    -0.04444
        69    -0.10965
        70    -0.13763
        71    -0.12561
        72    -0.07760
        73    -0.02368
        74     0.00914
        75     0.02782
        76     0.04209
        77     0.05677
        78     0.05943
        79     0.04866
        80     0.03933
        81     0.01823
        82    -0.01804
        83    -0.03632
        84    -0.03172
